순번,Q,A
4173,대량보복전략,"냉전 초기의 미국 핵전략을 가리킨다. 한국전쟁 직후 아이젠하워가 제시한, 국방정책의 기본방침인 뉴룩전략(New-Look Strategy)에서 제시된 것으로, 이 전략에 따르면 핵무기를 중심으로 한 강력한 보복력을 과시하여 적의 전쟁의지를 억제하고, 이를 위해 핵무기를 사용하는 전략공군을 확충하는 한편 기타의 불필요하다고 여겨지는 재래식 전력은 감축하게 된다. 방위적 군사태세로, 상대의 선제공격이 있을 시 핵무기에 의한 파멸적인 보복을 각오하게 하여 상대의 침략의지를 꺾는 것을 목적으로 하였으나, 뉴룩전략에 따른 대량보복전략은 적 공격에 대한 대응수단을 전략핵무기에 한정하기 때문에 공격에 대한 대응 자체가 전면전이 아니면 완전한 전쟁 포기를 의미하는 것이 되어 제한전 및 국지전의 발생을 막지 못했고 그에 대한 대처에 실패하여 핵무기만이 아닌 재래식 병력도 상황에 따라 사용한다는 유연반응전략으로 대체되었다.  2. 어떠한 형태의 군사적 도발에 대해서도 최대 수준의 군사적 응징으로 보복하는 전략, 혹은 그러한 의사를 표현함으로써 상대방의 군사적 도발 의지를 꺾는 억지전략을 가리킨다. 이러한 의미의 대량보복전략을 수행하는 수단은 크게 핵을 비롯한 대량파괴무기를 사용하는 방법과 대규모의 재래전 무기를 사용하는 방법이 있다. 현재 국가방위에 있어 이러한 의미의 대량보복전략을 채택하고 있는 대표적인 나라로는 이스라엘을 들 수 있다."
4174,대량살상무기,"대량 파괴병기라 불리기도 한다. 핵병기, 화학병기, 생물병기를 일괄하여 부르는 호칭으로, ABC(NBC)병기와 같은 의미이다. 핵병기가 최초로 전장에 투입된 제 2차 세계대전 이후에 그 분류가 발생하였으며, 무기의 비인도성 및 대량 살상능력으로 인하여 현대의 군축 움직임에서 중요한 의제가 되고 있다."
4187,대리전쟁,"한 국가가 자국이 직접 전쟁을 치르지 않고 자국의 동맹국이나 우방국 혹은 기타의 다른 나라가 대신 치르게 하여 벌어지는 전쟁을 가리킨다. 제 2차 세계대전 이후 냉전시대에 들어오면서 사용되기 시작한 단어이나, 대리전쟁에 관련된 정책개념은 이미 이전부터 존재하고 있었다. 대리전쟁의 발생시 실제로 전쟁을 치르는 국가는 승패에 상관없이 전쟁의 참화를 입게 되나, 치르게 하는 나라는 실패시에도 자국의 피해가 비교적 적으며, 그 외에도 전쟁의 범위를 좁힐 수 있고 새로운 무기나 전술을 시험할 수 있으며 상대측의 전략 및 전술을 탐지해낼 수 있다는 이점이 있다. 냉전시대에 벌어졌던 국지전들은 많은 부분이 실질적으로 미, 소 양국의 대리전쟁에 속해 있었다."
4197,대비정규전,"적의 비정규전에 대한 사전 예방, 저지 및 적 게릴라의 격멸과 소탕을 목적으로 수행되는 모든 활동을 가리키며, 군사활동과 비군사활동을 포괄하는 군, 관, 민의 통합된 범국가적인 노력으로 이루어진다. 대비정규전은 크게 내부개발과 내부방어로 나뉘는데 내부개발은 정부에서 행해지는 것으로, 안정 사회 건설을 목표로 하여 환경과 제도를 개선하여 사회 불안을 완화 해소시키는 등의 수단을 사용한다. 내부방어는 내부 개발을 보장하기 위한 국가의 법질서 수호 및 유지활동으로, 치안형식의 작전을 이르는 경찰형 작전과 적의 유격활동을 격멸하는 전쟁형식의 작전활동을 보이는 군사형 작전 및 이를 지원하는 정보활동, 심리전, 대민 군사지원활동 등을 포함한 지원작전이 있다. 내부방어의 경우, 대비정규전에서 경찰형 작전과 군사형 작전은 엄격하게 구분지어 나누기는 어렵다."
4209,대양해군,"연안방어에 그치지 않고 대양에서 상당 기간의 독립적인 작전을 수행할 수 있는 해군을 가리킨다. 최소 대형 구축함과 같은 중형함급 이상의 함선으로 구성되며, 항모와 잠수함, 순양함, 구축함 및 지원함과 상륙함 등으로 편성되어 해상만이 아니라 해상, 해저, 항공 모두를 통해 작전이 가능한 입체전력을 구비하는 것이 필요하다. 대양해군은 해양통제, 해상교통로 보호 및 대양과 적 연안에 대한 전력투사능력을 갖추고 이를 활용하여 대양을 무대로 활동하며 국가이익을 수호하고 국가정책을 뒷받침한다."
4232,대외군사판매,"미 정부를 대상으로 한 군사장비 직구매방법의 한 형태로, 미국정부가 무기수출통제법(Arms Export Control Act : AECA)등 관련법규에 의거 미국의 우방국, 동맹국 또는 국제 기구에 정부간의 계약에 의하여 대외지급수단 및 차관금액으로 군사상 필요한 물자를 유상판매하는 군사장비 판매 형태를 가리킨다. 지정구매(Defined Order Case:DO), 총괄구매(Blanket Order Case:BO) 및 군수보급지원약정(Cooperative Logistics Supply Support Arrangements:CLSSA)으로 구분된다. 지정구매란 FMS구매물자를 구매할 경우에 대상품목, 수량, 예상가격 및 인도 예정일 등의 제반조건을 청약 및 수락서상에 구체적으로 명시하여 구매하는 계약방법을 가리키며 총괄구매란 FMS물자를 구매할 경우에 구매대상품목에 대하여 총금액 및 구매기간만을 명시하여 계약한 후 그 범위 내에서 수시로 청구하여 구매하는 계약방법을 가리킨다. 군수보급지원약정이란 미 국방성 군수지원체제를 통하여 외국에 군수지원을 제공해 주는 국제협동 군수지원체제로서 미국과 해당 우방국 간의 군별 쌍무약정에 의해 평시 지속적인 계획의 일환으로 시행되고 있는 대외판매의 형태를 가리킨다."
4233,대외심리전,"우방이나 중립국 또는 적대관계에 있는 국가나 집단에 대하여 수행되는 심리전으로 우방국에 대해서는 협력관계를 더욱 강화하고 중립국에 대해서는 우호를 증진시키며 적대국 또는 적대집단에 대해서는 관계를 개선하고 견해, 감정, 태도 및 행동을 자국 및 아군측에 유리하게 유도하는 심리전 활동을 가리킨다."
4260,대잠 무기체계,"대잠전(Anti Submarine Warfare ASW)을 담당하는 무기체계를 총칭하여 가리킨다. 적 잠수함을 수색, 탐지하기 위한 소나와 같은 음향장비도 넓은 의미로는 대잠무기체계에 포함되지만, 일반적으로는 직접 잠수함을 공격하기 위한 공격무기를 가리킨다. 초기의 대잠무기로는 폭뢰가 있으며, 이후 대잠수함포, 대잠로켓, 대잠어뢰, 대잠미사일 등의 다양한 무기가 등장하였다. 탄두에 핵을 장비한 서브록 무기체계와 같이 핵폭발을 사용하여 넓은 범위의 잠수함을 공격하는 대잠수함용 핵무기도 존재한다."
4275,대잠 헬리콥터,"대잠전을 수행하는 것을 주임무로 하는 헬리콥터를 가리킨다. 지상발진 외에 구축함 등에 탑재되어 함상발진을 통해 대잠전을 수행하기도 하며, 대잠전 수행시에는 레이더와 디핑 소나, 소노부이 등으로 적 잠수함을 탐색, 탐지하고 대잠공격시에는 폭뢰, 어뢰 등으로 공격을 행한다. 한국 해군에서는 영국 웨스트랜드사의 수퍼 링스 헬기를 대잠헬기로 운용하고 있으며, 전방기지나 KDX 구축함에서 발진하여 작전을 행할 수 있다."
4280,대잠어뢰,"잠수함을 공격하기 위하여 사용하는 어뢰를 가리킨다. 주로 단어뢰(경어뢰)를 사용하였으나, 현재는 본래 수상함용으로 쓰이던 장어뢰(중어뢰) 역시 대잠어뢰로 사용할 수 있게 되었다. 수상함, 잠수함, 항공기 등에서 발사된다. 초기에는 무유도였으나 차례차례 유도방식이 개발되어 함정의 엔진소리를 감지하는 음향 패시브 유도를 비롯하여 어뢰 스스로 음파를 발하는 음향 액티브 유도 및 상대 함정의 와이어를 통해 수동으로 유도하는 유선관제유도방식 등이 개발되었다. 또한 초고속어뢰인 스퀄이 있는데, 이는 무유도인 대신 최대 300노트급의 고속으로 상대를 향하여 발사된다. 기폭시스템으로는 직접 접촉으로 폭발시키는 접촉식, 촉발식과 목표의 자기를 감지하는 감응식이 있었으나 제 2차 세계대전 때 나타났던 신관의 신뢰성 문제로 광범위를 공격하는 핵어뢰 등을 제외하면 대부분 접촉식, 촉발식을 사용하며, 현재는 보통 음향유도어뢰의 사용시 상대의 기만책에 대항하기 위하여 자기신관을 부가적으로 사용한다. 대표적인 대잠어뢰로는 미국의 MK44, 46 등이 있다."
4297,대전차 무기체계,"적 전차에 대항하여 공격하기 위한 일련의 무기들을 가리킨다. 전차를 이용한 전투가 본격적으로 등장하였던 제 2차 세계대전 시기부터 발달하기 시작하였으며, 당시의 대전차수단 중 구축전차나 대전차 자주포 등의 경우 현재는 사용되지 않는다. 현재 사용되는 대전차무기로는 대전차 지뢰나 보병용의 대전차 미사일과 로켓포, 무반동총 등의 화기 및 항공기나 차량에 탑재하여 발사하는 기관포, 토우미사일 등의 무기들이 있으며, 이러한 무기를 탑재한 항공기나 차량 그 자체도 대전차 무기체계에 포함된다."
4299,대전차 장애물,"적의 전차부대, 혹은 전차를 동반한 기계화부대의 주요 접근로를 봉쇄, 차단 또는 전진을 지연시키거나 아군의 화력권내로 유인하여 격멸시키기 위해 운용되는 장애물을 가리킨다. 경사지를 절토하여 수직면을 만들거나 사각형의 호를 파는 형태로 만드는 대전차구, 지상에 흙을 쌓거나 경사지와 같은 곳을 절토한 후 적 방향으로 석축이나 콘크리트 옹벽을 설치하는 단애, 개활지나 야지에 철근 콘크리트로 구축하고 상단부에 교통호 및 화기 진지와 총안구를 설치하여 공세적 방어를 가능하게 한 방벽, 주요 도로에 설치하여 적 기계화부대의 차단이나 우회를 강요하고 사전에 폭파 가능하게 만든 인공장애물인 낙석, 도로에서의 기동을 방해하는 도로대화구, 방벽이나 단애 등을 설치하기 어려운 소하천이나 개활지에 철재나 콘크리트로 설치하는 용치, 수목의 획득이 가능한 산악지형의 도로상에 통나무를 이용하여 구축하는 폐쇄용 장애물인 환대목, 수목이 우거진 산악이나 개활지 등에 자연 및 인공장애물과 통합하여 철재나 환목, 콘크리트로 만들어 설치하는 말뚝 등이 있다. 각 장애물의 구체적인 전술적 운용방식은 종류별로 상이하며, 단독으로 사용하기보다는 복합하거나 지뢰 등과 병행하여 운용하는 것이 정석이다. 대전차 장애물의 구축시에는 임무, 장차의 전술계획, 지형 및 기상, 시간, 물자, 인력 및 장비의 가용성, 현지 주민에 미치는 영향 등을 종합적으로 고려하여야 한다"
4317,대지공격,"공격임무를 부여받은 전투기, 폭격기 또는 공격기에 의하여 특정 지상목표에 대하여 공중타격을 가하는 것을 가리킨다. 이는 기계획 또는 긴급 근접항공지원이나 항공후방차단 등의 형태로 운용된다."
4336,대포병 사격,"넓게는 적의 포병에 대한 사격 전체를 가리키지만, 일반적으로는 적이 포병사격을 가한 이후 아군의 포병전력을 이용하여 상대 포병부대에 포격으로 반격을 가하는 것을 가리킨다. 적이 포격을 가한 이후 대포병 레이더로 적 포격의 탄도를 역추적하거나 탄흔분석조가 출동하여 적 포격의 탄흔을 조사하는 등의 방법으로 적의 포격이 날아온 위치를 알아내어 아군의 포병전력으로 그 위치에 포격을 가하는 방법으로 이루어진다. 이 과정을 최대한 단축시키는 것이 유효한 대포병사격의 관건으로, 현재 한국군의 경우 5분 이내에 대포병사격이 이루어질 수 있다고 한다. 대포병사격을 회피하기 위해서는 상대의 대포병사격이 이루어지기 이전에 최대한 빠르게 사격을 마친 포들을 사격위치에서 이탈시키거나 상대 포병의 최대사거리보다 더 먼 거리에서 포격을 가해야 하며, 반대로 대포병사격을 가하는 측에서는 빠른 대응 이외에도 가능한 한 사정거리가 긴 포를 보유할 필요가 있다. 현대 포격전에서 구형의 견인포는 기동성의 부족으로 사실상 대포병사격을 회피할 수 없으며, 자주포 역시 대포병사격의 회피를 위해서는 높은 기동성을 가질 필요가 있다."
4342,대한청년단,"1949년 12월 19일 각종 우익 청년단체들을 통합하여 결성된 단체. 대동청년단, 청년조선총동맹, 국민회청년단, 대한독립청년단, 서북청년회 등을 중심으로 하여 약 20여개의 우익 청년단체가 창설에 참가하였으며, 초기에는 최고위원제를 채택하여 이승만을 총재로 장택상, 전진한, 지청천, 노태준, 유진산, 서상천, 강낙원, 신성모 등이 최고위원으로 추대되었으나 이후 내부분열이 일어나 1950년 1월 최고위원제를 폐지하고 단장제로 바뀌어 신성모가 초대 단장에 취임하였다. 광범위한 조직망을 이용해 약 200만의 단원을 규합하여 계몽활동, 군사훈련을 비롯한 각종 활동을 전개하였으나, 그 활동이 이승만 지원활동에 치우쳤다는 지적도 있다. 한국전쟁의 발발 후 향토방위를 위한 청년방위대라는 반군사조직으로 개편되었으며, 중공군 참전 이후 대한청년단 약 50만명을 무장시키기 위하여 미국에 지원을 요청하였으나 기존부대의 보충요원으로 사용하는 것을 제안한 맥아더의 거부로 무산되었다. 이후 1. 4 후퇴시 국민방위군이 만들어졌을 때 그 중핵이 되었으나, 운영미숙과 부정착복 등으로 보급이 지급되지 않아 수많은 사망자를 냈던 국민방위군 사건으로 인하여 주요 간부들이 처형되고 국민방위군이 해산됨에 따라 조직이 극도로 약화되었으며, 1953년 민병대가 창설되면서 전국 청년들을 민병대에 규합한다는 지침에 따라 1953년 9월 10일 이승만의 명령으로 해산이 선포되었다."
4382,데이비드슨 선,"한국전쟁 시기, 낙동강 방어선의 붕괴에 대비하여 구축하였던 예비 방어선을 가리킨다. 1950년 8월 초 맥아더 장군은 워커 중장에게 낙동강 방어선이 붕괴되었을 경우를 대비한 예비방어선의 준비를 강조하였고, 이에 따라 워커 장군은 8월 11일에 공병참모 데이비드슨 준장에게 예비진지 구축을 명령하여 8월말까지 울산 북쪽 17㎞의 서정리에서 시작하여 경상남북도 도계를 따라 밀양 북쪽 유천리를 기점으로-무안리-마산 동북쪽의 고지군으로 이어지는 총연장 90Km의 예비 방어선을 구축하였다. 전선의 이름은 구축책임자였던 데이비드슨의 이름을 딴 것이다. 진지구축에는 현지주민이 동원되었으며, 엄체호와 기관총진지를 10m 간격으로 배치하고 조명지뢰를 매설하였다. 데이비드슨선의 구축이유는 인천상륙작전에 사용할 병력 확보를 위해 병력을 절약하면서 적 공격에 버틸 수 있는 보다 축소된 방어진지를 구축할 필요성이 있었으며, 현재의 낙동강 방어선이 붕괴될 경우 부산으로부터의 철수를 엄호할 최소한의 외곽진지가 필요하기 때문이었다. 최후방어선을 선정하는 시기에 이르러 미 제 8군은 실제 점령한 낙동강방어선과 데이비드슨선을 상호 비교하였고, 각자의 장단점을 비교한 뒤 워커 중장은 낙동강이라는 장애물의 유용성과 기동과 반격이 용이하다는 점을 들어 낙동강 방어선을 최종방위선으로 선택하였다."
4429,데탕트,"국제관계에 있어서의 긴장 완화를 가리킨다. 좁은 의미로는 1970년대 초부터 시작된 미, 소 주도의 양극 체제에서 비롯된 긴장의 완화와 협상으로 시작된 냉전의 완화를 가리킨다. 냉전시대의 초기에는 미, 소의 양극 체제를 기반으로 하여 동구권과 서구권의 대립이 첨예하였으나 소련의 흐루시초프가 평화공존 정책을 실시하면서 냉전이 완화되기 시작하였다. 이후 미, 소 외의 핵보유국(영국, 프랑스, 중국)이 등장하게 되면서 국제권력이 다변화되었고, 이로 인하여 냉전 초기의 양극 체제가 다극 체제로 바뀌면서 양 진영간의 긴장이 완화되고 협상이 시작되어 이데올로기로 대립하던 동서 진영은 평화공존과 화해의 시대에 들어가게 되었다. 1979년 소련이 아프가니스탄을 침공하면서 데탕트 분위기가 깨어져 한때 미, 소 양국의 대립이 격화되었으나, 고르바초프의 개혁, 개방 정책으로 인하여 신 데탕트의 시대가 도래하였고 1991년 소련의 붕괴와 함께 냉전체제는 종식되었다."
4443,도로대화구,"적의 전차 및 기계화부대의 도로사용을 거부하기 위하여 사용되는 장애물의 일종. 도로상의 한 지점에 폭발물을 장치하여 두었다가 필요할 때 폭파함으로써 도로상에 깊고 큰 폭파구를 형성시켜 이동을 방해한다. 장치하는 폭발물 및 폭파방범에 따라 액체폭약식, 암모늄 나이트레이트식, KM-180 도로대화구 킷 등으로 나누어진다. 효율적인 사용을 위해서는 도로대화구의 설치지점을 가능한 한 적이 용이하게 우회하기 어려운 곳에 두어야 하며, 도로대화구 생성 지역 주변에 지뢰를 살포함으로써 만들어진 도로대화구를 그대로 우회할 수 없게 하는 등 다른 장애물과의 복합적인 사용도 중요하다."
4464,도서지역작전,"도서지역을 작전지역으로 하여 벌어지는 일련의 작전을 가리킨다. 도서지역은 위치와 크기, 주민존재여부, 항구나 공항의 유무에 따라 그 가치가 달라진다. 작전을 행함에 있어 도서지역은 사방이 바다로 되어있다는 특성상 부대의 진출, 증원, 철퇴 등이 제한되며, 특히 협소한 도서일 경우 투입가능한 상륙부대의 규모가 제한된다. 또한, 육상의 병참기지로부터 고립상태에 있으므로 병참지원이 어렵다. 그리하여 도서지역의 작전 및 전투는 장기간에 걸쳐 독립적으로 행해지는 경우가 많으며, 병참지원의 성패여부가 작전결과에 큰 영향을 끼친다. 공격측은 도서작전의 수행을 위하여 공격을 위한 특수장비 및 자재의 준비와 전력 발휘가 제한되는 상륙 및 공수작전 초기의 취약점을 방어측이 이용하는 데 대한 대비 등 주도면밀한 작전 준비가 필요하다. 방어측은 도서지역의 방어를 위하여 최대한의 병참 지원을 확보할 필요가 있으며, 적 상륙시의 약점을 이용하여 전기를 잡아 가능한 한 조기에 적을 격파하는 것이 유리하다."
4509,도하작전,"하천을 건너 대안으로 이동하는 작전을 가리킨다. 일반적으로 공격작전의 한 과정으로 수행되며, 공격부대가 신속하게 하천 장애물을 극복하고 공격기세를 유지하여 적을 격멸하기 위해 실시한다. 도하를 시도하는 부대는 부대 및 장비품이 도하를 완료할 때까지 양쪽으로 분리되어 기동, 지원과 전투력 발휘가 제한되므로 기도를 비닉하여 방어자가 대응하기 이전에 기습적으로 도하할 필요가 있으며, 가능한 한 최대한 동시에 도하하여 도하시의 약점을 최소화하여야 한다."
4533,독성 화학작용제,"화학작용제 중, 인간에게 사용되었을 때 심한 상해 혹은 사망을 일으킬 수 있는 작용제를 가리킨다. 살상 화학작용제라고도 불린다. 화학작용제 중 질식작용제, 신경작용제, 혈액작용제, 수포작용제가 이러한 분류에 포함된다."
4540,독전대,"자기 편의 군사를 감시, 독려하는 부대로, 사기가 극히 낮은 부대나 숙련도가 낮은 징집병을 모은 부대, 혹은 충성도가 낮은 부대를 어쩔 수 없이 제 1선에서 운용해야 할 때 사용되는 경우가 많다. 독전 대상이 되는 부대는 거의 대부분 보병부대로, 독전대는 보통 독전 대상이 되는 부대의 후방에 위치하여 공격시에는 끊임없이 전진 및 돌격을, 방어시에는 무조건적인 위치 사수를 강제하는데, 머뭇거리거나 물러서는 병사에 대해서 즉각 체포, 혹은 가차없는 총격을 가하여 공격시의 전진 상태나 방어시의 위치사수 상태를 유지하게 만드는 방법을 많이 사용한다. 현대전에서는 제 2차 세계대전 기간 중 수인부대를 이용했던 소련군의 독전대가 유명하며, 한국전쟁에서도 인민군이 독전대를 운용했었다는 증언이 있다."
4602,동반동원,"동원되는 장비, 시설 및 업체와 이에 종사하는 인력을 동시에 동원하는 것으로서 이는 병력동원에 우선한다. 동시동원은 물자, 시설 또는 업체를 관장하는 주무부장관이 국무총리 승인을 얻어 동시동원 명령을 하령하고, 그 사실을 행정자치부장관에게 통보한다. 자동차, 건설기계, 항공기 등은 조작요원과 동시에 동원하며 병원, 운송, 건설, 하역, 정비업체, 전기통신공사업체, 항공, 선박 및 어선을 동원할 때는 이에 속해 있는 인원, 장비, 시설들을 동시에 동원한다."
4638,동원소요,"전시 혹은 그에 준하는 사변과 같은 다른 일로 인하여 동원령이 선포되었을 때, 전시 인가된 편제병력의 충원 또는 작전수요를 위하여 전시에 보충하여야 할 인적 및 물적 자원의 소요를 가리킨다. 순수한 의미에 있어서의 동원소요는 동원자원의 전체적인 소요량, 즉 공급능력 및 현재의 보유량을 고려하지 않은 전체량을 의미하며, 동원계획상의 기본소요인 동원소요는 현재의 보유량을 고려한 소요, 즉 순수한 개념상에서 의미하는 전체 소요량 중 부족량을 의미한다."
4639,동원지정,"전시동원소요에 대하여 평시에 인적, 물적 동원자원을 미리 지정하는 것으로 병력동원의 경우 전시를 대비하여 병력동원 소집대상자를 부대단위, 집단 또는 개인별로 전시에 소집될 부대 및 직책을 평시에 지정하여 두는 것을 말하며, 병력동원 운영계획에 의거하여 계급, 병과, 군사특기 및 거주지역 등 입영부대의 보충소요에 맞도록 지정하게 된다. 이는 동원지역의 배정, 소집부대의 결정, 동원보직 부여, 동원소집명부 작성 및 신상이동자의 대체지정 등 전 과정을 총망라하는 병력소집대상자의 지정과 동의어로 사용된다. 물적동원의 경우 지정물자 외에도 동원지정업체를 지정하여 전시에 군수물자 또는 전시 민수물자의 생산을 행하게 하며, 동원지정업체의 인력 확보를 위해 당 업체의 필수기술요원 중 병력동원이나 전시근로소집 대상자는 동원지정업체의 요청에 의해 병역법과 병무청 훈령에 의거하여 소집순위를 후위로 조정하게 된다"
4640,동원지정업체,"평시에는 업체 고유업종의 영업활동을 하나, 전시 또는 비상시에는 국가동원령에 의하여 동원되어 군수물자 또는 전시 민수물자의 생산이나 용역에 종사하는 업체를 가리킨다. 평시의 동원지정업체는 업체 준비사항으로 임무통지서 수령 후 15일 이내에 업체 실시계획을 작성하여 관할 구, 시, 군을 경유하여 시, 도지사의 승인을 받고, 유사시를 대비하여 기능공 양성 및 확보, 원료 비축 및 확보, 장비 및 시설확장, 연구개발 및 시제품생산 훈련 등을 실시하며, 임무품목 생산을 위한 금형 및 원부자재 확보 및 원부자재 조달업체와의 평시 가계약을 통하여 전시 원부자재 확보대책을 강구하는 한편 생산물자 인도를 위한 수송계획을 수립하고, 수송능력 부족시 행정관서에 요청하여 관통제차량을 지원받을 수 있도록 하며 우발사태(단전, 단수, 유류공급 중단 등)에 대비한 준비를 행한다. 동원지정업체의 종사자는 동원이 실행되었을 경우 인력동원 대상이 되어 업체와 함께 동시동원되며, 동원지정업체는 전시 필수기술요원 확보를 위해 병력동원 및 전시근로소집 대상자에 대한 후순위 조정 신청을 하며, 이들에 대한 후순위 조정은 병역법 및 병무청 훈령에 의거하여 행하게 된다."
4642,동위원소,"같은 화학원소로서 화학적인 성질은 같으나 원자량이 다른 원소를 가리킨다. 같은 양성자 숫자를 가지고 있으나 중성자의 숫자가 다르기 때문에 질량에서 차이가 생기게 된다. 그 안정성에 따라 안정동위원소와 방사성동위원소로 나뉘는데, 방사성동위원소의 경우 원자핵이 불안정하여 다른 종류의 안정된 동위원소로 변하려 하는 성질이 있고, 이러한 변화 과정에서 방사선을 방출하게 된다. 자연적으로 발생한 것도 있으나, 핵실험 등으로 인하여 인공적으로 만들어진 방사성동위원소도 존재한다. 동위원소는 고고학적 이용과 연대측정, 비파괴검사, 농업에서의 품종개량, 식품살균, 플라스틱과 같은 고분자물질의 강화, 의료용 트레이서 등 넓은 범위에서 유용하게 사용되며, 그 이용범위 및 유용성은 방사성동위원소가 안정동위원소에 비하여 크게 우세하다."
4817,랑구라계획,"1951년 10월 중순, 미 제 1해병사단과 한국군 제 1군단의 1개 사단을 고저, 통천일대에 상륙시키고, 이들이 견제공격을 행하는 사이 미 제 9군단을 주공으로 하여 미 제10군단, 한국군 제1군단으로 하여금 모두 공세를 취하게 하여 금화-통천 방향으로 공격을 행하여 적 4개 군단(북한군 2, 3, 5군단 및 중공군 제 20군)을 포위하여 섬멸하고 전선을 평강-회양-고저 선까지 추진시킨다는 계획으로, 전선의 고착 상태를 타개하여 휴전후의 더 양호한 방어선을 확보하고 중동부 전선의 적을 섬멸하는 것을 목적으로 하고 있었다. 그러나 작전 완수를 위한 철도의 일부가 중공군 감제하에 있었고, 작전 동원부대가 계획에 따라 동북으로 이동할 경우 중공군 주력이 미 제 1군단을 위협하게 되는 문제도 있었다. 그리하여 랑구라 작전 수행 전에 제한공격을 실시하여 전선을 북방으로 추진시키고 중공군의 공세능력을 격멸하고 철도를 확보하는 계획이 따로 수립되었다. 이 작전의 건의자는 밴플리트 장군으로, 하계 공세(피의 능선 전투)때 맹조의 발톱계획이라 명명된 공세계획을 두 번이나 건의하였으나 기각된 상태에서 새로운 공세를 건의한 것이었다.  유엔군 사령관 리지웨이 장군은 밴플리트 장군의 건의를 묵살하였고, 9월 30일 미 제 1군단장 오다니엘 소장이 제출한 코만도 계획을 승인하여 랑구라 계획은 기각되었다."
4844,러일전쟁,"20세기 초, 러시아의 동아시아 침략과 일본의 대륙 침략이 충돌한 것이 원인이 되어 한국과 만주에서의 지배권을 둘러싸고 벌어졌던 러시아와 일본 사이의 전쟁을 가리킨다. 표면적으로는 러시아와 일본의 충돌이지만 배후에는 영일동맹과 러시아 프랑스 동맹이 있었다. 의화단 사건 이후 러시아는 만주에 계속 군대를 주둔시키고 남하정책을 노골화하였으며, 당시 조선에 대하여 일본이 가지고 있던 독점적 지배우위를 위협하였다. 이에 일본은 만한 교환론 등을 제시하여 러시아와 교섭하고자 하였으나 러시아는 시종 강경한 태도를 보였고, 일본 내부에서도 주전파가 우세를 점하게 되어 일본은 영, 미의 지원을 받아 러시아와 전쟁을 벌이게 되었다. 일본은 1904년 2월 4일 대 러시아 전쟁을 결정하였고, 같은 달 8일 육군 선발대가 인천에 상륙하는 것과 동시에 뤼순(旅順)항을 공격하여 러시아 함선을 침몰시킴으로써 전쟁이 시작되었다. 4월 하순 한국에 상륙하여 북상한 일본 제 1군은 5월 초 압록강 연안에서 러시아군과 충돌하여 격파했고 같은 달 랴오둥(東) 반도에 상륙한 제2군은 난산(南山), 다롄(大)을 점령하여 뤼순을 고립시켰다. 8월에는 라오양(陽) 부근에서 양국군이 첫번째 대규모적인 접전을 벌였고, 10월의 사허(沙河) 전투, 1905년 1월의 헤이거우타이(黑溝臺)전투 등에서 일본군이 고전 끝에 승리하였다. 뤼순은 함대가 봉쇄당한 상태에서 고립되어 있었는데, 일본군 노기(乃木) 장군의 제 3군은 수차례에 걸친 공격으로 많은 손실을 보았지만 인해전술을 계속한 끝에 결국 1905년 1월 뤼순을 함락시켰다. 그해 3월 러시아군 32만과 일본군 25만이 펑텐(奉天:현재의 심양)에서 전투를 벌였으며, 일본군이 큰 피해를 입었으나 간신히 승리하였다. 또한 러시아의 발틱 함대가 지구를 반 바퀴나 돌아온 긴 항해 끝에 대한해협으로 접근하였으나, 도고 헤이하치로(東鄕平八郞)의 일본함대에 격파되었다. 펑텐 전투 이후 일본은 국력 자체의 한계로, 러시아는 연속된 패전에 의한 사기침체와 군대반란 및 농민폭동 등으로 전쟁수행능력이 한계에 이르렀으며, 이로 인하여 일본에 승리에 의한 만주 단독점령을 두려워한 열강에 의해 강화가 주선되어 시어도어 루즈벨트 미국 대통령의 중재로 포츠머드 조약이 맺어졌다. 이는 일본에 유리한 형태의 조약이었으며, 러일전쟁의 결과로 조선에 대한 일본의 독점권이 열강 사이에서 인정되었다."
